trip_duration_days,miles_traveled,total_receipts_amount,expected_output,miles_per_day,receipts_per_day,reimbursement_per_day,efficiency_category,trip_length_category,mileage_tier,effective_mileage_rate,receipt_tier,base_per_diem,residual_after_per_diem
5,794.0,511.0,1139.94,158.8,102.2,227.988,Low,Medium,600-1000,1.4356926952141058,Medium,500,639.94
5,521.0,1448.55,1624.01,104.2,289.71,324.802,Low,Medium,300-600,3.117101727447217,Very_High,500,1124.01
5,595.0,863.93,1231.67,119.0,172.786,246.334,Low,Medium,300-600,2.070033613445378,High,500,731.6700000000001
5,811.0,952.39,1608.6,162.2,190.478,321.71999999999997,Low,Medium,600-1000,1.98347718865598,High,500,1108.6
5,477.0,704.42,1045.96,95.4,140.884,209.192,Low,Medium,300-600,2.1927882599580713,High,500,545.96
5,730.0,485.73,991.49,146.0,97.146,198.298,Low,Medium,600-1000,1.3582054794520548,Medium,500,491.49
5,262.0,1173.79,1485.59,52.4,234.75799999999998,297.118,Low,Medium,100-300,5.670190839694656,High,500,985.5899999999999
5,446.0,219.98,788.62,89.2,43.995999999999995,157.724,Low,Medium,300-600,1.7682062780269059,Medium,500,288.62
5,751.0,407.43,1063.46,150.2,81.486,212.692,Low,Medium,600-1000,1.416058588548602,Medium,500,563.46
5,324.0,128.94,686.54,64.8,25.788,137.308,Low,Medium,300-600,2.1189506172839505,Low,500,186.53999999999996
5,414.0,967.0,1368.94,82.8,193.4,273.788,Low,Medium,300-600,3.3066183574879227,High,500,868.94
5,367.0,290.78,742.25,73.4,58.15599999999999,148.45,Low,Medium,300-600,2.0224795640326976,Medium,500,242.25
5,764.0,848.75,1468.46,152.8,169.75,293.692,Low,Medium,600-1000,1.922068062827225,High,500,968.46
5,249.0,873.75,1185.24,49.8,174.75,237.048,Low,Medium,100-300,4.76,High,500,685.24
8,862.0,1817.85,1719.37,107.75,227.23125,214.92125,Low,Very_Long,600-1000,1.994628770301624,Very_High,800,919.3699999999999
11,927.0,1994.33,1779.12,84.27272727272727,181.30272727272725,161.7381818181818,Low,Very_Long,600-1000,1.9192233009708737,Very_High,1100,679.1199999999999
9,602.0,186.69,1085.4,66.88888888888889,20.743333333333332,120.60000000000001,Low,Very_Long,600-1000,1.8029900332225914,Low,900,185.4000000000001
8,610.0,208.29,841.27,76.25,26.03625,105.15875,Low,Very_Long,600-1000,1.3791311475409835,Medium,800,41.26999999999998
12,333.0,1103.21,1618.13,27.75,91.93416666666667,134.84416666666667,Low,Very_Long,300-600,4.85924924924925,High,1200,418.1300000000001
8,435.0,1129.65,1525.26,54.375,141.20625,190.6575,Low,Very_Long,300-600,3.506344827586207,High,800,725.26
9,218.0,1203.45,1561.63,24.22222222222222,133.71666666666667,173.51444444444445,Low,Very_Long,100-300,7.163440366972478,Very_High,900,661.6300000000001
12,781.0,1159.18,1752.72,65.08333333333333,96.59833333333334,146.06,Low,Very_Long,600-1000,2.244199743918054,High,1200,552.72
11,916.0,1036.91,2098.07,83.27272727272727,94.26454545454546,190.73363636363638,Low,Very_Long,600-1000,2.290469432314411,High,1100,998.0700000000002
10,358.0,2066.62,1624.11,35.8,206.66199999999998,162.411,Low,Very_Long,300-600,4.536620111731843,Very_High,1000,624.1099999999999
12,566.0,2013.7,1752.03,47.166666666666664,167.80833333333334,146.0025,Low,Very_Long,300-600,3.095459363957597,Very_High,1200,552.03
9,954.0,1483.39,2024.2,106.0,164.82111111111112,224.91111111111113,Low,Very_Long,600-1000,2.121802935010482,Very_High,900,1124.2
9,534.0,1929.94,1624.87,59.333333333333336,214.4377777777778,180.5411111111111,Low,Very_Long,300-600,3.042827715355805,Very_High,900,724.8699999999999
12,765.0,1343.97,1953.03,63.75,111.9975,162.7525,Low,Very_Long,600-1000,2.552980392156863,Very_High,1200,753.03
8,630.0,967.69,1388.05,78.75,120.96125,173.50625,Low,Very_Long,600-1000,2.2032539682539682,High,800,588.05
10,909.0,696.0,1505.19,90.9,69.6,150.519,Low,Very_Long,600-1000,1.655874587458746,High,1000,505.19000000000005
10,223.0,745.89,1037.45,22.3,74.589,103.745,Low,Very_Long,100-300,4.652242152466368,High,1000,37.450000000000045
8,467.0,1178.71,1483.33,58.375,147.33875,185.41625,Low,Very_Long,300-600,3.1762955032119913,High,800,683.3299999999999
9,708.0,461.07,1110.6,78.66666666666667,51.23,123.39999999999999,Low,Very_Long,600-1000,1.56864406779661,Medium,900,210.5999999999999
9,885.0,1764.97,1694.37,98.33333333333333,196.10777777777778,188.26333333333332,Low,Very_Long,600-1000,1.9145423728813558,Very_High,900,794.3699999999999
6,855.0,591.35,1339.72,142.5,98.55833333333334,223.28666666666666,Low,Long,600-1000,1.5669239766081873,Medium,600,739.72
2,993.0,54.24,715.19,496.5,27.12,357.595,High,Short,600-1000,0.7202316213494462,Low,200,515.19
5,685.0,747.14,1216.36,137.0,149.428,243.272,Low,Medium,600-1000,1.7757080291970802,High,500,716.3599999999999
3,981.0,341.45,813.95,327.0,113.81666666666666,271.31666666666666,High,Short,600-1000,0.8297145769622835,Medium,300,513.95
5,770.0,873.33,1502.49,154.0,174.666,300.498,Low,Medium,600-1000,1.9512857142857143,High,500,1002.49
6,697.0,651.64,1237.71,116.16666666666667,108.60666666666667,206.285,Low,Long,600-1000,1.7757675753228122,High,600,637.71
3,795.0,450.85,743.94,265.0,150.28333333333333,247.98000000000002,High,Short,600-1000,0.9357735849056604,Medium,300,443.94000000000005
3,606.0,1184.23,1364.54,202.0,394.74333333333334,454.84666666666664,Sweet_Spot,Short,600-1000,2.251716171617162,High,300,1064.54
3,842.0,865.37,1251.14,280.6666666666667,288.45666666666665,417.0466666666667,High,Short,600-1000,1.485914489311164,High,300,951.1400000000001
7,748.0,241.73,971.31,106.85714285714286,34.53285714285714,138.75857142857143,Low,Long,600-1000,1.2985427807486631,Medium,700,271.30999999999995
7,624.0,148.16,905.79,89.14285714285714,21.165714285714284,129.39857142857142,Low,Long,600-1000,1.4515865384615385,Low,700,205.78999999999996
2,713.0,740.33,1048.28,356.5,370.165,524.14,High,Short,600-1000,1.4702384291725106,High,200,848.28
3,874.0,1191.4,1515.99,291.3333333333333,397.1333333333334,505.33,High,Short,600-1000,1.73454233409611,High,300,1215.99
6,761.0,530.19,1120.1,126.83333333333333,88.36500000000001,186.6833333333333,Low,Long,600-1000,1.471879106438896,Medium,600,520.0999999999999
1,815.0,97.89,539.36,815.0,97.89,539.36,High,Short,600-1000,0.6617914110429448,Low,100,439.36
1,601.0,497.7,644.12,601.0,497.7,644.12,High,Short,600-1000,1.071747088186356,Medium,100,544.12
7,817.0,1127.87,1809.91,116.71428571428571,161.1242857142857,258.55857142857144,Low,Long,600-1000,2.21531211750306,High,700,1109.91
1,606.0,923.0,1050.05,606.0,923.0,1050.05,High,Short,600-1000,1.7327557755775578,High,100,950.05
1,909.0,741.82,866.07,909.0,741.82,866.07,High,Short,600-1000,0.9527722772277228,High,100,766.07
3,624.0,1160.92,1459.34,208.0,386.97333333333336,486.44666666666666,Sweet_Spot,Short,600-1000,2.3386858974358975,High,300,1159.34
4,650.0,619.49,676.38,162.5,154.8725,169.095,Low,Medium,600-1000,1.0405846153846154,High,400,276.38
6,204.0,818.99,628.4,34.0,136.49833333333333,104.73333333333333,Low,Long,100-300,3.080392156862745,High,600,28.399999999999977
1,263.0,396.49,198.42,263.0,396.49,198.42,High,Short,100-300,0.7544486692015209,Medium,100,98.41999999999999
1,451.0,555.49,162.18,451.0,555.49,162.18,High,Short,300-600,0.3596008869179601,Medium,100,62.18000000000001
10,424.0,474.99,831.96,42.4,47.499,83.196,Low,Very_Long,300-600,1.9621698113207549,Medium,1000,-168.03999999999996
2,565.0,389.49,415.96,282.5,194.745,207.98,High,Short,300-600,0.7362123893805309,Medium,200,215.95999999999998
9,397.0,348.49,913.29,44.111111111111114,38.721111111111114,101.47666666666666,Low,Very_Long,300-600,2.300478589420655,Medium,900,13.289999999999964
1,532.0,413.99,355.57,532.0,413.99,355.57,High,Short,300-600,0.6683646616541353,Medium,100,255.57
2,384.0,495.49,290.36,192.0,247.745,145.18,Sweet_Spot,Short,300-600,0.7561458333333334,Medium,200,90.36000000000001
5,754.0,489.99,765.13,150.8,97.998,153.026,Low,Medium,600-1000,1.014761273209549,Medium,500,265.13
1,344.46,813.85,707.88,344.46,813.85,707.88,High,Short,300-600,2.0550426754920745,High,100,607.88
3,906.3,540.03,848.42,302.09999999999997,180.01,282.8066666666667,High,Short,600-1000,0.9361359373275957,Medium,300,548.42
3,1007.56,187.52,764.64,335.8533333333333,62.50666666666667,254.88,High,Short,1000+,0.7589026956211045,Low,300,464.64
1,359.62,221.15,255.57,359.62,221.15,255.57,High,Short,300-600,0.7106668149713586,Medium,100,155.57
1,362.79,749.19,636.51,362.79,749.19,636.51,High,Short,300-600,1.7544860663193582,High,100,536.51
1,288.72,159.26,303.94,288.72,159.26,303.94,High,Short,100-300,1.0527154336381268,Low,100,203.94
2,782.17,830.72,1165.44,391.085,415.36,582.72,High,Short,600-1000,1.4900085659127813,High,200,965.44
2,623.18,347.54,625.15,311.59,173.77,312.575,High,Short,600-1000,1.0031612054302128,Medium,200,425.15
3,1061.15,388.5,693.36,353.7166666666667,129.5,231.12,High,Short,1000+,0.6534043254959242,Medium,300,393.36
1,252.75,285.5,331.74,252.75,285.5,331.74,High,Short,100-300,1.3125222551928784,Medium,100,231.74
3,1020.39,250.62,779.08,340.13,83.54,259.6933333333333,High,Short,1000+,0.7635119905134312,Medium,300,479.08000000000004
1,257.97,816.81,738.01,257.97,816.81,738.01,High,Short,100-300,2.8608365313796176,High,100,638.01
3,1025.03,592.55,992.4,341.6766666666667,197.51666666666665,330.8,High,Short,1000+,0.9681667853623797,Medium,300,692.4
2,794.32,402.31,671.06,397.16,201.155,335.53,High,Short,600-1000,0.8448232450397823,Medium,200,471.05999999999995
1,276.85,485.54,361.66,276.85,485.54,361.66,High,Short,100-300,1.3063391728372764,Medium,100,261.66
2,851.68,473.96,650.68,425.84,236.98,325.34,High,Short,600-1000,0.7639958669922976,Medium,200,450.67999999999995
3,859.12,611.07,960.47,286.37333333333333,203.69000000000003,320.1566666666667,High,Short,600-1000,1.1179695502374523,High,300,660.47
3,1317.07,476.87,787.42,439.0233333333333,158.95666666666668,262.4733333333333,High,Short,1000+,0.5978573652121755,Medium,300,487.41999999999996
1,388.1,827.37,741.46,388.1,827.37,741.46,High,Short,300-600,1.910486987889719,High,100,641.46
1,264.39,758.27,636.19,264.39,758.27,636.19,High,Short,100-300,2.4062559098301755,High,100,536.19
5,198.21,594.83,807.48,39.642,118.96600000000001,161.496,Low,Medium,100-300,4.073861056455275,Medium,500,307.48
6,72.85,457.75,666.59,12.141666666666666,76.29166666666667,111.09833333333334,Low,Long,0-100,9.150171585449556,Medium,600,66.59000000000003
8,297.64,481.09,835.08,37.205,60.13625,104.385,Low,Very_Long,100-300,2.8056712807418362,Medium,800,35.08000000000004
7,237.33,1262.27,1452.17,33.90428571428571,180.3242857142857,207.45285714285714,Low,Long,100-300,6.11877975814267,Very_High,700,752.1700000000001
5,195.73,1228.49,511.23,39.146,245.698,102.24600000000001,Low,Medium,100-300,2.6119143718387576,Very_High,500,11.230000000000018
8,276.28,1179.9,1522.6,34.535,147.4875,190.325,Low,Very_Long,100-300,5.51107572028377,High,800,722.5999999999999
8,302.24,1046.04,1353.77,37.78,130.755,169.22125,Low,Very_Long,300-600,4.479122551614611,High,800,553.77
8,266.87,252.08,880.41,33.35875,31.51,110.05125,Low,Very_Long,100-300,3.299021995728257,Medium,800,80.40999999999997
9,310.69,239.64,828.16,34.52111111111111,26.626666666666665,92.01777777777778,Low,Very_Long,300-600,2.665550870642763,Medium,900,-71.84000000000003
6,222.08,709.07,1031.34,37.013333333333335,118.17833333333334,171.89,Low,Long,100-300,4.644002161383285,High,600,431.3399999999999
8,264.94,720.67,1019.85,33.1175,90.08375,127.48125,Low,Very_Long,100-300,3.849362119725221,High,800,219.85000000000002
8,161.15,1230.37,1499.24,20.14375,153.79625,187.405,Low,Very_Long,100-300,9.303381942289791,Very_High,800,699.24
9,259.96,554.74,835.54,28.88444444444444,61.63777777777778,92.83777777777777,Low,Very_Long,100-300,3.214109863055855,Medium,900,-64.46000000000004
9,97.85,518.56,850.57,10.872222222222222,57.617777777777775,94.50777777777779,Low,Very_Long,0-100,8.692590700051099,Medium,900,-49.42999999999995
9,194.34,1054.93,1374.9,21.593333333333334,117.21444444444445,152.76666666666668,Low,Very_Long,100-300,7.074714418030257,High,900,474.9000000000001
9,332.35,374.61,830.45,36.92777777777778,41.623333333333335,92.27222222222223,Low,Very_Long,300-600,2.498721227621483,Medium,900,-69.54999999999995
5,126.44,696.14,845.35,25.288,139.228,169.07,Low,Medium,100-300,6.685779816513762,High,500,345.35
5,66.13,848.03,1050.25,13.225999999999999,169.606,210.05,Low,Medium,0-100,15.881596854680177,High,500,550.25
6,135.34,1144.13,1478.11,22.55666666666667,190.68833333333336,246.35166666666666,Low,Long,100-300,10.92145707108024,High,600,878.1099999999999
6,233.7,346.98,648.57,38.949999999999996,57.830000000000005,108.09500000000001,Low,Long,100-300,2.7752246469833124,Medium,600,48.57000000000005
9,849.0,1007.41,1785.47,94.33333333333333,111.93444444444444,198.38555555555556,Low,Very_Long,600-1000,2.103027090694935,High,900,885.47
6,806.0,1760.64,1718.76,134.33333333333334,293.44,286.46,Low,Long,600-1000,2.132456575682382,Very_High,600,1118.76
8,891.0,1194.36,2016.46,111.375,149.295,252.0575,Low,Very_Long,600-1000,2.2631425364758697,High,800,1216.46
9,1182.0,1342.24,2164.15,131.33333333333334,149.13777777777779,240.4611111111111,Low,Very_Long,1000+,1.8309221658206432,Very_High,900,1264.15
7,1010.0,1514.03,2063.98,144.28571428571428,216.29,294.8542857142857,Low,Long,1000+,2.0435445544554454,Very_High,700,1363.98
8,892.0,1768.53,1902.37,111.5,221.06625,237.79625,Low,Very_Long,600-1000,2.132701793721973,Very_High,800,1102.37
6,825.0,1692.73,1817.77,137.5,282.12166666666667,302.96166666666664,Low,Long,600-1000,2.203357575757576,Very_High,600,1217.77
8,1118.0,1758.52,1852.47,139.75,219.815,231.55875,Low,Very_Long,1000+,1.6569499105545618,Very_High,800,1052.47
8,1064.0,1756.52,1857.04,133.0,219.565,232.13,Low,Very_Long,1000+,1.7453383458646616,Very_High,800,1057.04
6,811.0,1252.04,1771.8,135.16666666666666,208.67333333333332,295.3,Low,Long,600-1000,2.1847102342786684,Very_High,600,1171.8
7,889.0,1417.96,1826.08,127.0,202.56571428571428,260.86857142857144,Low,Long,600-1000,2.0540832395950503,Very_High,700,1126.08
9,1012.0,1429.04,1880.76,112.44444444444444,158.78222222222223,208.97333333333333,Low,Very_Long,1000+,1.8584584980237153,Very_High,900,980.76
6,909.0,1332.18,1720.21,151.5,222.03,286.70166666666665,Low,Long,600-1000,1.8924202420242024,Very_High,600,1120.21
9,1096.0,1690.22,1894.85,121.77777777777777,187.8022222222222,210.5388888888889,Low,Very_Long,1000+,1.7288777372262774,Very_High,900,994.8499999999999
9,913.0,1021.29,1964.86,101.44444444444444,113.47666666666666,218.31777777777776,Low,Very_Long,600-1000,2.152092004381161,High,900,1064.86
6,1006.0,1219.71,1803.97,167.66666666666666,203.285,300.6616666666667,Low,Long,1000+,1.793210735586481,Very_High,600,1203.97
6,907.0,1650.17,1737.86,151.16666666666666,275.02833333333336,289.6433333333333,Low,Long,600-1000,1.9160529217199558,Very_High,600,1137.86
9,816.0,1171.81,1780.58,90.66666666666667,130.20111111111112,197.8422222222222,Low,Very_Long,600-1000,2.1820833333333334,High,900,880.5799999999999
7,1006.0,1181.33,2279.82,143.71428571428572,168.76142857142855,325.68857142857144,Low,Long,1000+,2.266222664015905,High,700,1579.8200000000002
6,835.0,1404.28,1765.79,139.16666666666666,234.04666666666665,294.29833333333335,Low,Long,600-1000,2.1147185628742515,Very_High,600,1165.79
12,528.0,2476.41,1662.88,44.0,206.36749999999998,138.57333333333335,Low,Very_Long,300-600,3.1493939393939394,Very_High,1200,462.8800000000001
4,69.0,2321.49,322.0,17.25,580.3725,80.5,Low,Medium,0-100,4.666666666666667,Very_High,400,-78.0
11,1179.0,31.36,1550.55,107.18181818181819,2.850909090909091,140.95909090909092,Low,Very_Long,1000+,1.3151399491094147,Very_Low,1100,450.54999999999995
13,756.0,954.4,1793.07,58.15384615384615,73.41538461538461,137.92846153846153,Low,Very_Long,600-1000,2.371785714285714,High,1300,493.06999999999994
1,123.0,2076.65,1171.68,123.0,2076.65,1171.68,Low,Short,100-300,9.525853658536587,Very_High,100,1071.68
3,1162.0,2152.66,1434.71,387.3333333333333,717.5533333333333,478.2366666666667,High,Short,1000+,1.2346901893287436,Very_High,300,1134.71
1,822.0,2170.53,1374.91,822.0,2170.53,1374.91,High,Short,600-1000,1.6726399026763992,Very_High,100,1274.91
11,558.0,1549.86,1823.47,50.72727272727273,140.89636363636362,165.77,Low,Very_Long,300-600,3.2678673835125447,Very_High,1100,723.47
2,753.0,1111.16,1353.87,376.5,555.58,676.935,High,Short,600-1000,1.7979681274900396,High,200,1153.87
10,224.0,407.51,794.7,22.4,40.751,79.47,Low,Very_Long,100-300,3.5477678571428575,Medium,1000,-205.29999999999995
6,383.0,462.79,800.3,63.833333333333336,77.13166666666667,133.38333333333333,Low,Long,300-600,2.089556135770235,Medium,600,200.29999999999995
8,1005.0,1391.37,1987.39,125.625,173.92125,248.42375,Low,Very_Long,1000+,1.9775024875621892,Very_High,800,1187.39
10,1145.0,311.43,1366.61,114.5,31.143,136.661,Low,Very_Long,1000+,1.193545851528384,Medium,1000,366.6099999999999
5,1004.0,2367.63,1743.85,200.8,473.526,348.77,Sweet_Spot,Medium,1000+,1.736902390438247,Very_High,500,1243.85
5,873.0,1402.35,1676.79,174.6,280.46999999999997,335.358,Low,Medium,600-1000,1.920721649484536,Very_High,500,1176.79
2,165.0,1813.32,1273.45,82.5,906.66,636.725,Low,Short,100-300,7.717878787878788,Very_High,200,1073.45
5,1076.0,190.33,879.65,215.2,38.066,175.93,Sweet_Spot,Medium,1000+,0.8175185873605948,Low,500,379.65
12,986.0,2390.92,1760.0,82.16666666666667,199.24333333333334,146.66666666666666,Low,Very_Long,600-1000,1.7849898580121704,Very_High,1200,560.0
7,948.0,657.17,1578.97,135.42857142857142,93.88142857142857,225.56714285714287,Low,Long,600-1000,1.6655801687763714,High,700,878.97
3,429.0,2400.13,1411.95,143.0,800.0433333333334,470.65000000000003,Low,Short,300-600,3.2912587412587415,Very_High,300,1111.95
4,362.0,646.43,788.53,90.5,161.6075,197.1325,Low,Medium,300-600,2.178259668508287,High,400,388.53
2,622.0,1871.56,1494.23,311.0,935.78,747.115,High,Short,600-1000,2.402299035369775,Very_High,200,1294.23
1,140.0,255.99,150.34,140.0,255.99,150.34,Low,Short,100-300,1.0738571428571428,Medium,100,50.34
8,123.0,612.55,851.24,15.375,76.56875,106.405,Low,Very_Long,100-300,6.920650406504065,High,800,51.24000000000001
4,87.0,2463.92,1413.52,21.75,615.98,353.38,Low,Medium,0-100,16.24735632183908,Very_High,400,1013.52
10,164.0,1144.9,1516.43,16.4,114.49000000000001,151.643,Low,Very_Long,100-300,9.246524390243902,High,1000,516.4300000000001
1,989.0,2196.84,1439.17,989.0,2196.84,1439.17,High,Short,600-1000,1.4551769464105158,Very_High,100,1339.17
4,470.0,1968.63,1501.1,117.5,492.1575,375.275,Low,Medium,300-600,3.1938297872340424,Very_High,400,1101.1
1,37.0,1397.17,1092.94,37.0,1397.17,1092.94,Low,Short,0-100,29.53891891891892,Very_High,100,992.94
8,488.0,439.7,1030.13,61.0,54.9625,128.76625,Low,Very_Long,300-600,2.1109221311475412,Medium,800,230.1300000000001
12,757.0,897.4,1780.07,63.083333333333336,74.78333333333333,148.33916666666667,Low,Very_Long,600-1000,2.3514795244385733,High,1200,580.0699999999999
14,958.0,1727.76,2065.16,68.42857142857143,123.41142857142857,147.51142857142855,Low,Very_Long,600-1000,2.155699373695198,Very_High,1400,665.1599999999999
2,456.0,2390.7,1342.39,228.0,1195.35,671.195,High,Short,300-600,2.9438377192982457,Very_High,200,1142.39
5,733.0,41.18,771.83,146.6,8.236,154.366,Low,Medium,600-1000,1.052974079126876,Very_Low,500,271.83000000000004
5,291.0,1279.7,1477.12,58.2,255.94,295.424,Low,Medium,100-300,5.076013745704467,Very_High,500,977.1199999999999
10,478.0,2091.79,1568.41,47.8,209.179,156.841,Low,Very_Long,300-600,3.281192468619247,Very_High,1000,568.4100000000001
8,817.0,1455.73,1847.26,102.125,181.96625,230.9075,Low,Very_Long,600-1000,2.2610281517747857,Very_High,800,1047.26
6,1043.0,1404.35,1807.42,173.83333333333334,234.0583333333333,301.2366666666667,Low,Long,1000+,1.7329050814956857,Very_High,600,1207.42
2,958.0,1855.58,1549.54,479.0,927.79,774.77,High,Short,600-1000,1.617473903966597,Very_High,200,1349.54
9,524.0,474.75,935.4,58.22222222222222,52.75,103.93333333333334,Low,Very_Long,300-600,1.785114503816794,Medium,900,35.39999999999998
6,45.0,81.59,522.58,7.5,13.598333333333334,87.09666666666668,Low,Long,0-100,11.61288888888889,Low,600,-77.41999999999996
8,342.0,2259.06,1502.02,42.75,282.3825,187.7525,Low,Very_Long,300-600,4.39187134502924,Very_High,800,702.02
12,379.0,1897.29,1682.98,31.583333333333332,158.1075,140.24833333333333,Low,Very_Long,300-600,4.440580474934037,Very_High,1200,482.98
6,333.0,1254.68,1585.02,55.5,209.11333333333334,264.17,Low,Long,300-600,4.759819819819819,Very_High,600,985.02
2,634.0,1739.81,1490.51,317.0,869.905,745.255,High,Short,600-1000,2.35096214511041,Very_High,200,1290.51
5,285.0,974.73,1282.84,57.0,194.946,256.568,Low,Medium,100-300,4.50119298245614,High,500,782.8399999999999
12,33.0,1249.13,1707.38,2.75,104.09416666666668,142.28166666666667,Low,Very_Long,0-100,51.73878787878788,Very_High,1200,507.3800000000001
9,118.0,1285.82,1539.77,13.11111111111111,142.86888888888888,171.08555555555554,Low,Very_Long,100-300,13.048898305084746,Very_High,900,639.77
1,420.0,2273.6,1220.35,420.0,2273.6,1220.35,High,Short,300-600,2.9055952380952377,Very_High,100,1120.35
11,312.0,2072.39,1586.22,28.363636363636363,188.3990909090909,144.2018181818182,Low,Very_Long,300-600,5.084038461538461,Very_High,1100,486.22
10,753.0,2054.02,1779.08,75.3,205.402,177.908,Low,Very_Long,600-1000,2.36265604249668,Very_High,1000,779.0799999999999
5,125.0,96.38,570.99,25.0,19.276,114.19800000000001,Low,Medium,100-300,4.56792,Low,500,70.99000000000001
6,597.0,888.84,1395.65,99.5,148.14000000000001,232.60833333333335,Low,Long,300-600,2.3377721943048577,High,600,795.6500000000001
12,1065.0,203.2,1408.25,88.75,16.933333333333334,117.35416666666667,Low,Very_Long,1000+,1.322300469483568,Medium,1200,208.25
1,214.0,540.03,402.81,214.0,540.03,402.81,Sweet_Spot,Short,100-300,1.8822897196261683,Medium,100,302.81
11,886.0,922.66,1852.24,80.54545454545455,83.87818181818182,168.38545454545454,Low,Very_Long,600-1000,2.0905643340857787,High,1100,752.24
10,621.0,978.73,1656.28,62.1,97.873,165.628,Low,Very_Long,600-1000,2.6671175523349437,High,1000,656.28
4,1000.0,2355.34,1699.56,250.0,588.835,424.89,High,Medium,600-1000,1.69956,Very_High,400,1299.56
13,534.0,1765.96,1881.36,41.07692307692308,135.84307692307692,144.72,Low,Very_Long,300-600,3.52314606741573,Very_High,1300,581.3599999999999
6,475.0,1800.71,1671.23,79.16666666666667,300.11833333333334,278.53833333333336,Low,Long,300-600,3.5183789473684213,Very_High,600,1071.23
11,623.0,2265.21,1739.18,56.63636363636363,205.92818181818183,158.10727272727274,Low,Very_Long,600-1000,2.7916211878009634,Very_High,1100,639.1800000000001
1,620.0,973.91,1112.02,620.0,973.91,1112.02,High,Short,600-1000,1.7935806451612903,High,100,1012.02
13,1004.0,1757.75,1960.67,77.23076923076923,135.21153846153845,150.82076923076923,Low,Very_Long,1000+,1.9528585657370519,Very_High,1300,660.6700000000001
8,962.0,1929.63,1897.19,120.25,241.20375,237.14875,Low,Very_Long,600-1000,1.9721309771309772,Very_High,800,1097.19
14,516.0,1464.67,1842.1,36.857142857142854,104.61928571428572,131.57857142857142,Low,Very_Long,300-600,3.5699612403100773,Very_High,1400,442.0999999999999
